,dm,ji
280,0.0022012,35.113641962873345
780,0.0022024,34.86830330169633
1280,0.0022036,34.62395441429578
1780,0.0022048,34.38059303244631
2280,0.002206,34.13821690136285
2780,0.0022072000000000003,33.89682377975373
3280,0.0022084,33.656411439894185
3780,0.0022096,33.416977667684904
4280,0.0022108,33.17852026270964
4780,0.002212,32.94103703829717
5280,0.0022132,32.70452582157489
5780,0.0022144,32.46898445352383
6280,0.0022156000000000003,32.234410789033575
6780,0.0022168,32.00080269695272
7280,0.002218,31.768158060136926
7780,0.0022192,31.53647477549842
8280,0.0022204,31.305750754050848
8780,0.0022216,31.07598392095491
9280,0.0022228,30.847172215560363
9780,0.0022240000000000003,30.61931359144444
10280,0.0022252,30.39240601645369
10780,0.0022264000000000003,30.166447472741822
11280,0.0022276,29.941435956802053
11780,0.0022288,29.717369479502082
12280,0.00223,29.494246066118592
12780,0.0022312,29.27206375636257
13280,0.0022324000000000003,29.050820604412365
13780,0.0022336,28.830514678934776
14280,0.0022348000000000003,28.61114406311745
14780,0.002236,28.392706854685088
15280,0.0022372,28.175201165922658
15780,0.0022384,27.95862512369618
16280,0.0022396,27.742976869470994
16780,0.0022408000000000003,27.528254559323614
17280,0.002242,27.314456363960176
17780,0.0022432000000000003,27.10158046872604
18280,0.0022444,26.88962507361657
18780,0.0022456,26.678588393287583
19280,0.0022468,26.46846865706044
19780,0.002248,26.259264108927937
20280,0.0022492,26.050973007555825
20780,0.0022504,25.843593626288936
21280,0.0022516000000000003,25.637124253145856
21780,0.0022528,25.43156319081777
22280,0.002254,25.22690875666754
22780,0.0022552,25.023159282724265
23280,0.0022564,24.820313115668625
23780,0.0022576,24.61836861683321
24280,0.0022588,24.417324162184258
24780,0.0022600000000000003,24.217178142314907
25280,0.0022612,24.017928962425344
25780,0.0022624,23.819575042310476
26280,0.0022636,23.622114816337472
26780,0.0022648,23.425546733432526
27280,0.002266,23.2298692570524
27780,0.0022672,23.03508086516615
28280,0.0022684000000000003,22.84118005022654
28780,0.0022696,22.648165319145676
29280,0.0022708,22.456035193265564
29780,0.002272,22.2647882083279
30280,0.0022732,22.074422914442096
30780,0.0022744,21.88493787605026
31280,0.0022756,21.69633167189565
31780,0.0022768000000000003,21.50860289498243
32280,0.002278,21.3217501525358
32780,0.0022792000000000003,21.135772065965313
33280,0.0022804,20.950667270820077
33780,0.0022816,20.766434416746307
34280,0.0022828,20.583072167440548
34780,0.002284,20.40057920060383
35280,0.0022852000000000003,20.21895420789366
35780,0.0022864,20.038195894872445
36280,0.0022876000000000003,19.85830298095584
36780,0.0022888,19.679274199357792
37280,0.00229,19.501108297039423
37780,0.0022912,19.323804034650777
38280,0.0022924,19.14736018647008
38780,0.0022936,18.97177554034738
39280,0.0022948,18.797048897643577
39780,0.0022960000000000003,18.623179073161396
40280,0.0022972,18.45016489509274
40780,0.0022984,18.278005204943668
41280,0.0022996,18.106698857467563
41780,0.0023008,17.936244720604748
42280,0.002302,17.766641675401758
42780,0.0023032,17.59788861594862
43280,0.0023044000000000003,17.42998444930211
43780,0.0023056,17.26292809541323
44280,0.0023068,17.096718487047525
44780,0.002308,16.931354569715694
45280,0.0023092,16.76683530158857
45780,0.0023104,16.603159653424285
46280,0.0023116,16.44032660848012
46780,0.0023128000000000003,16.278335162436548
47280,0.002314,16.117184323312358
47780,0.0023152,15.956873111378655
48280,0.0023164,15.797400559078
48780,0.0023176,15.638765710930102
49280,0.0023188,15.480967623450226
49780,0.00232,15.324005365061083
50280,0.0023212000000000003,15.16787801599645
50780,0.0023224,15.012584668213918
51280,0.0023236000000000003,14.858124425306613
51780,0.0023248,14.704496402400935
52280,0.002326,14.551699726068875
52780,0.0023272,14.399733534232865
53280,0.0023284,14.248596976067546
53780,0.0023296,14.098289211901687
54280,0.0023308,13.948809413121836
54780,0.0023320000000000003,13.800156762074437
55280,0.0023332,13.652330451965724
55780,0.0023344,13.505329686756994
56280,0.0023356,13.359153681069557
56780,0.0023368,13.213801660078218
57280,0.002338,13.069272859410972
57780,0.0023392,12.925566525041205
58280,0.0023404000000000003,12.782681913190572
58780,0.0023416,12.640618290215059
59280,0.0023428,12.49937493250755
59780,0.002344,12.358951126385449
60280,0.0023452,12.219346167986743
60780,0.0023464,12.08055936316083
61280,0.0023476,11.942590027363991
61780,0.0023488000000000003,11.805437485546264
62280,0.00235,11.669101072044214
62780,0.0023512,11.53358013047307
63280,0.0023524,11.398874013612357
63780,0.0023536,11.264982083302101
64280,0.0023548,11.131903710325673
64780,0.002356,10.999638274301702
65280,0.0023572000000000003,10.868185163573571
65780,0.0023584,10.737543775095162
66280,0.0023596,10.607713514319613
66780,0.0023608,10.47869379508711
67280,0.002362,10.35048403951339
67780,0.0023632,10.223083677874712
68280,0.0023644,10.096492148499038
68780,0.0023656000000000003,9.970708897646205
69280,0.0023668,9.845733379402361
69780,0.0023680000000000003,9.721565055559864
70280,0.0023692,9.5982033955095
70780,0.0023704,9.47564787612373
71280,0.0023716,9.35389798164448
71780,0.0023728,9.232953203569707
72280,0.002374,9.112813040537645
72780,0.0023752,8.99347699821621
73280,0.0023764,8.874944589193035
73780,0.0023776,8.757215332853576
74280,0.0023788,8.640288755273843
74780,0.00238,8.524164389108535
75280,0.0023812,8.408841773476524
75780,0.0023824,8.294320453844534
76280,0.0023836,8.180599981923336
