,s2,dm,ji
496853,0.10971269219420607,0.0026958,9.310391498666538
496854,0.10978178285183933,0.0026958,9.375622715386312
496855,0.10985089257458074,0.0026958,9.44110480610136
496856,0.1099200213590538,0.0026958,9.506838013636512
496857,0.10998916920188108,0.0026958,9.57282258092249
496858,0.11005833609968417,0.0026958,9.639058750995867
496859,0.11012752204908376,0.0026958,9.705546766999403
496860,0.1101967270466996,0.0026958,9.772286872181654
496861,0.11026595108915042,0.0026958,9.83927930989727
496862,0.1103351941730542,0.0026958,9.906524323606954
496863,0.11040445629502788,0.0026958,9.974022156877433
496864,0.11047373745168737,0.0026958,10.041773053381432
496865,0.11054303763964793,0.0026958,10.109777256897994
496866,0.1106123568555236,0.0026958,10.178035011312
496867,0.11068169509592772,0.0026958,10.246546560614737
496868,0.11075105235747244,0.0026958,10.315312148903365
496869,0.11082042863676922,0.0026958,10.384332020381413
496870,0.11088982393042857,0.0026958,10.45360641935863
496871,0.1109592382350599,0.0026958,10.52313559025079
496872,0.11102867154727183,0.0026958,10.59291977758008
496873,0.11109812386367207,0.0026958,10.662959225974939
496874,0.11116759518086723,0.0026958,10.733254180169832
496875,0.11123708549546328,0.0026958,10.803804885005915
496876,0.11130659480406492,0.0026958,10.87461158543031
496877,0.1113761231032762,0.0026958,10.945674526496687
496878,0.11144567038970014,0.0026958,11.016993953364961
496879,0.11151523665993876,0.0026958,11.088570111301506
496880,0.11158482191059327,0.0026958,11.160403245679008
496881,0.11165442613826393,0.0026958,11.23249360197662
496882,0.11172404933955,0.0026958,11.304841425779939
496883,0.11179369151104987,0.0026958,11.37744696278101
496884,0.11186335264936098,0.0026958,11.450310458778192
496885,0.11193303275107988,0.0026958,11.523432159676657
496886,0.1120027318128022,0.0026958,11.596812311487904
496887,0.1120724498311226,0.0026958,11.670451160329938
496888,0.11214218680263474,0.0026958,11.74434895242734
496889,0.11221194272393156,0.0026958,11.818505934111387
496890,0.11228171759160488,0.0026958,11.892922351819754
496891,0.11235151140224572,0.0026958,11.9675984520969
496892,0.11242132415244413,0.0026958,12.042534481593874
496893,0.11249115583878916,0.0026958,12.117730687068283
496894,0.11256100645786904,0.0026958,12.193187315384515
496895,0.11263087600627107,0.0026958,12.268904613513682
496896,0.11270076448058156,0.0026958,12.344882828533501
496897,0.11277067187738593,0.0026958,12.421122207628427
496898,0.11284059819326872,0.0026958,12.497622998089843
496899,0.11291054342481345,0.0026958,12.574385447315743
496900,0.11298050756860277,0.0026958,12.651409802810912
496901,0.11305049062121847,0.0026958,12.728696312187
496902,0.11312049257924126,0.0026958,12.806245223162486
