,s2,dm,ji
551,0.08973492135946716,0.0020014,18.892647536595824
1551,0.08973492135946716,0.0020028,18.82776694022734
2551,0.08973492135946716,0.0020042000000000003,18.76296581921826
3551,0.08973492135946716,0.0020056,18.698244196530098
4551,0.08973492135946716,0.002007,18.633602096546653
5551,0.08973492135946716,0.0020084,18.569039545074666
6551,0.08973492135946716,0.0020098,18.50455656934495
7551,0.08973492135946716,0.0020112,18.440153198013334
8551,0.08973492135946716,0.0020126,18.37582946116114
9551,0.08973492135946716,0.002014,18.311585390296322
10551,0.08973492135946716,0.0020154,18.247421018354004
11551,0.08973492135946716,0.0020168,18.18333637969726
12551,0.08973492135946716,0.0020182,18.119331510117796
13551,0.08973492135946716,0.0020196,18.05540644683648
14551,0.08973492135946716,0.002021,17.99156122850406
15551,0.08973492135946716,0.0020224,17.927795895201577
16551,0.08973492135946716,0.0020238,17.864110488441057
17551,0.08973492135946716,0.0020252,17.800505051165793
18551,0.08973492135946716,0.0020266,17.736979627750827
19551,0.08973492135946716,0.002028,17.673534264003422
20551,0.08973492135946716,0.0020294,17.610169007163286
21551,0.08973492135946716,0.0020308,17.546883905903044
22551,0.08973492135946716,0.0020322,17.483679010328217
23551,0.08973492135946716,0.0020336,17.42055437197792
24551,0.08973492135946716,0.002035,17.357510043824483
25551,0.08973492135946716,0.0020364,17.294546080274202
26551,0.08973492135946716,0.0020378,17.23166253716687
27551,0.08973492135946716,0.0020392,17.16885947177635
28551,0.08973492135946716,0.0020406,17.106136942810295
29551,0.08973492135946716,0.002042,17.043495010410197
30551,0.08973492135946716,0.0020434,16.98093373615147
31551,0.08973492135946716,0.0020448,16.918453183043297
32551,0.08973492135946716,0.0020462,16.856053415528358
33551,0.08973492135946716,0.0020476,16.793734499483094
34551,0.08973492135946716,0.002049,16.731496502216828
35551,0.08973492135946716,0.0020504,16.66933949247219
36551,0.08973492135946716,0.0020518,16.607263540424576
37551,0.08973492135946716,0.0020532,16.545268717681637
38551,0.08973492135946716,0.0020546,16.483355097283223
39551,0.08973492135946716,0.002056,16.42152275370095
40551,0.08973492135946716,0.0020574,16.359771762837553
41551,0.08973492135946716,0.0020588,16.298102202026648
42551,0.08973492135946716,0.0020602,16.236514150032015
43551,0.08973492135946716,0.0020616,16.17500768704727
44551,0.08973492135946716,0.002063,16.113582894695142
45551,0.08973492135946716,0.0020644,16.052239856026823
46551,0.08973492135946716,0.0020658,15.990978655521404
47551,0.08973492135946716,0.0020672,15.929799379085056
48551,0.08973492135946716,0.0020686,15.868702114050427
49551,0.08973492135946716,0.00207,15.807686949175688
50551,0.08973492135946716,0.0020714,15.746753974643939
51551,0.08973492135946716,0.0020728,15.685903282062112
52551,0.08973492135946716,0.0020742,15.62513496446021
53551,0.08973492135946716,0.0020756,15.564449116290382
54551,0.08973492135946716,0.002077,15.503845833425887
55551,0.08973492135946716,0.0020784,15.443325213160124
56551,0.08973492135946716,0.0020798,15.38288735420568
57551,0.08973492135946716,0.0020812,15.322532356692966
58551,0.08973492135946716,0.0020826,15.26226032216942
59551,0.08973492135946716,0.002084,15.202071353598116
60551,0.08973492135946716,0.0020854,15.141965555356657
61551,0.08973492135946716,0.0020868,15.081943033235943
62551,0.08973492135946716,0.0020882,15.022003894438937
63551,0.08973492135946716,0.0020896,14.962148247579181
64551,0.08973492135946716,0.002091,14.902376202679685
65551,0.08973492135946716,0.0020924,14.842687871171355
66551,0.08973492135946716,0.0020938,14.783083365891644
67551,0.08973492135946716,0.0020952,14.723562801083043
68551,0.08973492135946716,0.0020966,14.66412629239178
69551,0.08973492135946716,0.002098,14.604773956865904
70551,0.08973492135946716,0.0020994,14.5455059129542
71551,0.08973492135946716,0.0021008,14.486322280504039
72551,0.08973492135946716,0.0021022,14.427223180760203
73551,0.08973492135946716,0.0021036,14.368208736362893
74551,0.08973492135946716,0.002105,14.309279071346227
75551,0.08973492135946716,0.0021064,14.25043431113628
76551,0.08973492135946716,0.0021078,14.19167458254953
