1.282	1.532
1.532	1.782
1.782	2.032
2.032	2.282
2.282	2.532
2.532	2.782
2.782	3.032
3.032	3.282
3.282	3.532
3.532	3.782
3.782	4.032
4.032	4.282
4.282	4.532
4.532	4.782
4.782	5.032
5.032	5.282
5.282	5.532
5.532	5.782
5.782	6.032
6.032	6.282
6.282	6.532
6.532	6.782
6.782	7.032
7.032	7.282
7.282	7.532
7.532	7.782
7.782	8.032
8.032	8.282
8.282	8.532
8.532	8.782
8.782	9.282
9.282	9.782
9.782	10.282
10.282	10.782
10.782	11.782
11.782	12.782
12.782	14.782
14.782	16.782
16.782	18.782
18.782	20.782
